1,Maria,11,8.5,6.7,10.0
2,Rafael,9,8.5,6.7,10.0
3,Maria,17,8.5,6.7,10.0
4,Mariana,14,8.5,6.7,10.0
5,Carlos,10,8.5,6.7,10.0
6,Fernando,16,8.5,6.7,10.0
7,João,8,8.5,6.7,10.0
8,Carlos,9,8.5,6.7,10.0
9,Pedro,4,8.5,6.7,10.0
10,Mariana,11,8.5,6.7,10.0
11,Lúcia,15,8.5,6.7,10.0
12,Fernando,12,8.5,6.7,10.0
13,Ana,2,8.5,6.7,10.0
14,Mariana,17,8.5,6.7,10.0
15,Isabel,16,8.5,6.7,10.0
16,Carlos,9,8.5,6.7,10.0
17,Rafael,12,8.5,6.7,10.0
18,Maria,2,8.5,6.7,10.0
19,Isabel,3,8.5,6.7,10.0
20,Fernando,12,8.5,6.7,10.0
21,Fernando,3,8.5,6.7,10.0
22,Fernando,17,8.5,6.7,10.0
